Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9
30,784.01311,694.44953,305.6323,963.48102,310.11262,465.03351,355.41842,319.11341,463.03484,822.72395,375.09055
31,985.28298,739.50603,455.82448,591.33373,399.00126,529.34222,986.19762,619.20893,681.9057,587.95024,369.66788
32,575.41014,647.0324,473.63063,660.67485,77.90676,607.67243,473.91961,986.26057,454.59168,323.96669,10.25632
33,304.39845,23.45208,993.90679,305.31624,95.46667,380.62775,167.91031,464.08059,825.69542,658.95589,639.57453
34,938.74601,363.56314,702.97617,190.55816,263.08713,939.46946,517.06001,592.24938,872.74913,787.01795,652.33794
35,460.64076,148.16806,930.84814,975.01167,981.52263,123.43906,213.90237,313.40536,78.34476,843.56064,846.66815
36,618.33748,704.41965,181.7577,869.66228,614.38021,76.87016,719.96429,537.46501,431.67938,843.83743,332.84835
37,12.45986,145.19395,604.69843,850.34609,674.09461,682.63821,206.49817,700.85819,806.31565,585.92457,309.50323
38,307.13772,976.2249,42.75378,258.34384,384.9573,42.1743,590.03177,114.22494,160.23066,553.98762,842.21428
39,690.08958,401.60496,821.00832,29.005,579.40439,890.71918,783.86829,886.91443,343.72012,811.79444,959.97895
40,780.71603,695.22835,444.40007,853.16769,661.49731,166.72418,339.23687,418.26566,234.36176,419.3468,405.55985
41,420.09174,448.02851,169.78905,567.34443,906.06045,167.33543,42.35588,123.04955,452.06293,781.29459,633.97719
42,343.32948,1.0219,483.57744,770.40704,996.04685,102.62825,133.54748,61.61944,289.58363,295.87849,465.17243
43,224.56504,406.5201,267.32855,253.83097,320.48313,346.28872,837.21611,712.18698,348.95906,549.42429,5.20959
44,689.90642,102.93735,201.21713,403.20351,703.83414,21.08054,508.10503,298.16411,705.99452,193.42518,590.72542
45,559.78919,20.23028,17.59363,629.87002,766.69375,798.96057,542.30597,587.12411,78.80266,545.12637,476.48535
46,98.0032,454.64744,250.01682,13.42496,365.03776,494.83962,130.64831,482.70148,169.77807,482.48239,831.69908
47,579.3517,55.75939,42.15449,974.57417,1.05959,463.1792,175.61727,793.75672,991.01232,67.51669,116.94177
48,806.7562,667.48596,454.29774,299.72267,406.66358,676.36742,53.32473,48.1774,949.90723,488.74401,53.87921
49,53.46161,533.73177,246.94771,413.3025,988.55202,549.01535,498.88304,294.00356,233.19511,573.47179,807.75496
50,138.28371,469.28568,709.52436,63.78707,978.17826,141.26385,849.02206,853.49341,751.13773,673.4747,319.25399
51,290.92968,374.58397,82.73921,15.49338,349.31664,924.59445,203.8187,961.80109,809.58428,420.45966,986.86115
52,319.53026,752.28582,248.3566,619.15652,172.23494,415.18175,868.42456,744.18496,397.4441,32.32406,218.98817
53,802.72711,713.23402,844.2636,998.48597,848.77459,337.64137,433.23305,753.6635,565.66554,804.62229,702.74636
54,626.44426,293.43972,656.04331,862.81294,24.39835,558.65458,126.28984,401.88801,854.89246,938.62382,155.86579
55,797.07663,421.48916,282.88549,897.52623,152.30709,588.55388,533.68233,783.26451,305.912,295.72022,644.98037
56,626.34427,209.05688,54.22534,568.72418,615.8101,615.02219,683.26317,5.30963,164.20637,498.57592,673.88092
57,220.28652,201.08547,970.24964,744.12968,764.19494,44.34376,841.87103,348.13559,686.68774,333.2316,321.81695
58,344.3971,323.87781,773.8293,188.52218,568.74198,666.56277,369.14225,272.28985,571.08652,151.94828,747.73976
59,117.39067,958.69852,190.27014,174.43813,168.59748,868.37548,791.65023,829.07511,958.40549,493.09438,894.69908
60,916.00598,335.92119,751.4457,301.52939,386.47898,779.42142,604.41386,94.03704,947.33391,590.9272,425.80657
61,882.71895,619.38991,97.79742,249.22829,209.15338,467.20099,457.98129,491.79896,835.41101,977.29253,803.97894
62,646.93297,445.58929,480.64152,625.76039,30.16329,835.11436,817.11445,987.89814,30.90595,359.09964,282.1923
63,665.24263,747.21014,308.42722,874.69981,454.07705,5.11031,395.46167,745.35242,771.49605,913.06704,935.42116
64,444.83826,257.5377,638.20919,416.11231,428.20377,994.40968,159.90904,179.10972,381.02856,559.08181,97.00722
65,468.69149,403.6522,663.46311,730.68735,43.77683,446.07911,996.51252,645.80429,860.01079,585.66485,295.797
66,661.53001,561.23159,956.13032,939.23804,977.90126,587.24809,834.50021,680.26503,25.32375,350.43316,734.94252
67,114.13684,359.33473,117.59025,569.38264,31.24494,681.96692,424.44822,709.3278,360.16154,449.0313,591.57353
68,67.32716,454.75621,308.28173,361.15005,545.89232,336.1039,316.70586,428.65805,61.42173,354.91822,802.7431
69,955.54843,105.15697,342.99576,867.29605,458.17024,120.9601,612.5578,415.84643,716.7601,139.93387,588.78758
70,639.48185,281.62046,890.22387,53.87818,658.27064,704.2173,378.00077,480.16191,898.78677,884.01914,883.30109
71,765.20627,887.72725,490.05736,414.68532,257.68807,0.39959,681.01198,493.66101,485.78571,960.60514,507.42484
72,516.11323,120.99355,414.97921,140.19362,490.90195,726.69512,973.4022,249.51415,350.64028,646.32188,891.94386
73,969.76409,760.91973,707.44768,849.79037,587.38734,464.3605,969.78515,188.57223,734.84849,624.94522,8.68184
74,191.20755,764.6888,571.74287,458.60082,839.70558,574.53491,431.05967,694.63656,503.49342,502.67774,229.39263
75,466.84626,88.54743,968.04805,659.36325,862.31262,41.24726,208.54413,899.328,338.90498,64.48897,576.1702
76,72.79839,492.83844,605.14424,204.05676,914.04324,0.70442,747.50265,568.08836,935.01057,485.64099,966.37419
77,339.37302,648.94062,22.82476,340.102,127.69776,347.37906,255.61408,563.02405,781.97276,936.35257,289.99425
78,224.23423,216.17467,612.24919,143.53925,662.50338,384.29522,179.4183,371.59567,845.15894,952.87506,348.48646
79,132.52387,463.85714,463.08551,834.39038,448.29283,325.55078,367.91267,70.36534,734.16825,513.66169,135.0409
80,134.36261,562.39206,344.64498,248.67625,136.17618,922.84621,79.12449,613.43126,603.37374,28.95612,501.15472
81,954.54627,900.37458,701.66959,998.7594,876.13477,739.18456,684.28206,872.69779,914.55181,845.80077,595.18044
82,604.14983,593.11467,328.68289,383.80918,272.8549,54.73429,65.88521,951.11379,536.1791,38.05337,661.3552
83,577.07987,521.1748,134.19352,434.42046,242.32885,471.04246,145.57338,215.00156,570.75822,137.65547,566.98691
84,580.23144,919.19822,552.67257,128.82686,388.42937,717.89708,722.17387,969.53493,585.64551,521.41674,201.81274
85,837.93239,773.58711,465.1922,994.89438,125.33899,448.40104,482.81298,646.12272,873.35817,835.11159,184.32115
86,93.59582,271.42137,178.0543,869.61891,453.01882,271.19237,416.50325,987.56839,16.39435,396.37744,674.24079
87,144.69497,603.24735,810.22203,584.27014,278.43343,177.41196,563.52642,596.10048,912.74591,4.38048,959.26308
88,518.01566,9.06266,905.65991,248.46464,537.84508,636.68475,685.09125,71.90855,841.36346,834.70825,722.22683
89,11.76892,270.41582,506.59218,600.17151,978.03091,327.76051,6.88705,534.59805,398.72715,96.49653,343.78163
90,405.99872,990.69491,287.22659,367.47595,900.94667,967.94919,519.51641,266.61921,922.05213,354.06647,612.6925
91,543.968,494.38563,191.11646,431.32004,404.20943,238.54597,805.16812,0.41893,357.53154,855.86558,639.69067
92,976.66,755.01069,24.38733,915.80896,17.30338,692.58126,601.75176,226.73983,260.93139,894.90472,150.50822
93,10.13635,732.37568,190.19753,945.76784,102.27546,125.66204,599.66569,72.63617,462.72394,452.09689,189.49909
94,51.11507,353.76931,582.77294,5.87802,106.42811,41.17884,629.78175,294.9797,824.82709,385.26571,350.0818
95,655.42434,547.18958,933.07758,772.54882,116.74285,74.79542,653.94087,271.65536,866.50241,284.26692,746.14103
96,499.20544,539.52461,430.50524,865.95327,998.54406,802.63848,4.72633,489.18674,695.07656,920.78237,876.82404
97,608.41144,928.00887,107.73981,854.42847,142.02245,569.31088,790.52457,914.83186,566.0018,642.26848,849.84999
98,538.30816,858.02055,291.95264,259.78824,184.1312,906.84785,489.67153,95.35125,45.10501,834.67792,350.57087
99,536.50553,674.22787,769.08294,85.3876,658.90101,314.99488,81.84023,994.96998,96.11811,626.66758,630.08171
