Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9,Onus_10,Onus_11,Onus_12,Onus_13,Onus_14,Onus_15,Onus_16,Onus_17,Onus_18,Onus_19,Onus_20,Onus_21,Onus_22,Onus_23,Onus_24,Onus_25,Onus_26,Onus_27,Onus_28,Onus_29,Onus_30,Onus_31,Onus_32,Onus_33,Onus_34,Onus_35,Onus_36,Onus_37,Onus_38,Onus_39,Onus_40,Onus_41,Onus_42,Onus_43,Onus_44,Onus_45,Onus_46,Onus_47,Onus_48,Onus_49,Onus_50,Onus_51,Onus_52,Onus_53,Onus_54,Onus_55,Onus_56,Onus_57,Onus_58,Onus_59,Onus_60,Onus_61,Onus_62,Onus_63,Onus_64,Onus_65,Onus_66,Onus_67,Onus_68,Onus_69,Onus_70,Onus_71,Onus_72,Onus_73,Onus_74,Onus_75,Onus_76,Onus_77,Onus_78,Onus_79,Onus_80,Onus_81,Onus_82,Onus_83,Onus_84,Onus_85,Onus_86,Onus_87,Onus_88,Onus_89,Onus_90,Onus_91,Onus_92,Onus_93,Onus_94,Onus_95,Onus_96,Onus_97,Onus_98,Onus_99,Onus_100,Onus_101,Onus_102,Onus_103,Onus_104,Onus_105,Onus_106,Onus_107,Onus_108,Onus_109
10,597.65969,271.04798,909.60403,776.28167,979.68974,171.58371,383.62978,815.43168,798.62103,804.45459,142.35579,23.33289,137.53113,930.98948,176.66475,791.04874,162.26403,656.38595,682.16779,321.42313,800.63478,932.67312,807.27977,833.68596,74.4381,461.83468,841.86479,709.81827,932.55969,335.43767,830.26848,268.76985,906.45298,33.61723,806.55547,405.58511,129.19803,154.45986,762.91308,58.20396,188.53027,213.38515,58.90951,176.49233,562.27345,567.51674,178.99792,707.19552,362.98692,809.73797,595.86454,918.07759,826.79546,959.89793,907.5125,901.93362,830.05644,130.94876,616.95781,450.63428,988.53034,547.08666,587.57628,95.97396,977.92711,845.16212,788.48636,224.04434,798.75369,475.33936,949.39972,337.88156,568.85422,63.28828,68.60888,433.37407,423.30604,509.72028,302.29308,596.7262,707.6891,68.08599,953.1208,954.37774,847.67406,465.03218,486.47986,465.51502,75.79408,618.24972,891.18694,586.67077,262.96541,821.5716,171.02224,547.01105,63.57769,785.75936,867.411,921.29006,129.34212,46.55007,860.54094,285.18996,796.46215,23.10913,966.62596,880.95242,220.99375,539.4338,806.06155
11,754.47346,103.33372,530.46855,229.74112,109.25953,308.51953,649.37533,572.63617,543.48017,204.75627,900.61467,143.24305,104.58334,549.04,61.88516,444.91643,646.93368,823.0779,344.24799,825.33072,685.92426,597.81897,294.67294,925.03113,721.34278,95.71558,518.84577,974.84703,31.97325,164.47911,93.94616,147.74902,426.68065,294.01516,696.54719,32.9011,309.94319,928.02981,465.35317,322.84277,310.94781,282.79983,689.70599,558.93044,757.21332,157.19126,399.3564,76.95004,507.66424,395.35211,570.16271,269.27892,864.95129,957.88924,596.66596,124.9429,198.57566,91.9933,907.55549,200.39328,495.99783,872.34482,213.16099,196.68321,232.42016,396.68479,804.14197,543.53416,732.90523,594.70192,702.46081,119.0459,761.22082,151.78857,993.07788,874.13724,861.35654,138.58545,219.83377,242.8061,531.90076,275.93597,202.2982,531.22466,436.60762,600.02208,85.07491,102.94412,766.75194,923.41427,814.91037,752.32611,820.50831,687.7277,441.55325,666.05935,124.31897,320.11738,49.3999,383.03467,232.07894,258.99419,13.14842,600.86115,186.40633,283.35077,856.25833,498.47359,991.1329,924.34429,834.88449
12,215.23879,203.62498,793.54252,787.55422,115.44051,635.22625,959.16036,447.3866,629.52137,926.27999,180.9641,166.40986,336.16108,36.00613,996.3145,311.9813,426.53292,247.40847,806.30982,570.27114,991.77096,748.86876,80.4774,149.05074,893.37005,101.13503,921.15737,36.70934,891.24001,823.21749,61.11039,217.54312,100.66573,725.5403,792.46116,33.4598,473.33695,397.88893,992.54073,711.47667,707.80948,817.95688,813.39375,67.9612,337.77638,228.31173,168.25201,419.95318,984.67646,369.46446,442.90771,838.31913,267.78879,914.87285,878.5704,305.32466,517.95257,560.3959,392.07396,882.07649,30.92049,298.75098,119.7576,377.3115,492.92901,800.7359,141.41117,117.50368,246.59516,298.16421,481.03352,544.65571,331.57553,188.52399,421.42715,403.01487,155.83915,406.33122,129.33676,593.15056,879.19288,935.26341,574.60506,874.12716,333.73936,396.36526,310.21175,539.96498,77.23985,575.41073,375.63824,531.77122,917.7006,737.54832,21.07639,744.45388,724.45912,200.20515,793.92571,285.98624,651.67375,879.63969,493.34063,34.05229,118.57222,437.42588,184.69892,224.67695,420.70179,703.32197,777.01273
13,378.3651,785.88923,539.39151,131.64038,296.03922,171.24643,403.90723,663.44508,990.62346,666.4305,629.30556,411.15826,470.02409,868.02247,153.4634,132.08774,406.27118,508.40376,981.40318,250.52459,259.63882,16.40574,846.35777,964.37809,326.70708,61.57632,228.47426,494.03411,611.17117,882.50261,288.59333,32.50527,717.34135,707.50995,327.86358,130.00934,740.19086,634.42297,707.85018,314.00676,603.80993,168.24779,953.16824,688.2664,363.62249,763.48311,664.90256,456.6381,354.57138,895.82318,429.65749,278.02911,183.17226,857.02998,585.34273,186.57814,717.95522,869.41657,26.76604,908.76726,547.68558,478.45171,716.61122,737.18193,479.64639,240.94234,640.55456,355.63399,670.98358,646.45249,636.48332,800.96899,823.02744,140.05341,280.73003,348.42246,266.69044,945.81664,678.33335,500.37401,882.45834,119.76748,151.71835,186.49613,606.61504,390.26131,113.78151,824.268,610.72581,296.756,753.89223,221.17704,161.6015,220.70917,353.86253,417.14061,865.00212,653.05031,219.78565,386.85819,771.6823,800.70629,39.11689,705.42813,685.10174,641.81458,401.45534,705.57996,235.64959,639.16017,875.70416
14,198.64906,335.50296,0.60515,291.92408,11.72288,982.76616,571.53878,991.67568,929.19638,363.63526,328.61824,587.48137,245.05054,669.83227,889.6694,754.26003,260.33034,155.64917,853.2034,941.177,540.31971,40.91986,510.48368,155.8722,882.80555,56.63676,945.40293,174.33862,157.78497,63.86083,439.70453,573.15914,982.88202,853.22776,17.23287,529.63863,532.61268,216.16687,565.38165,60.80423,525.71782,388.72659,565.66223,194.7843,896.37194,45.34805,168.91983,710.8931,389.80223,683.56625,350.61108,168.82917,925.09543,231.34518,365.37958,49.11017,659.01986,326.37295,645.71502,859.35691,96.31052,803.12421,295.28528,271.46387,291.58667,312.12789,900.31574,145.23914,492.63065,374.33154,428.72779,473.9186,906.75032,80.57958,260.90321,493.54933,653.86341,125.36351,373.90296,124.49844,656.99035,881.16532,255.18001,585.18426,520.52681,783.52798,830.61375,263.96842,738.08334,955.99135,458.89619,730.48573,436.55578,89.17097,931.52089,436.73695,748.82559,504.99717,446.64926,38.23425,35.31965,167.13439,936.00257,530.15645,794.03549,693.10772,775.11959,61.802,668.19197,123.90304,226.62081
15,200.27328,258.28227,108.00281,854.42211,486.29484,884.52091,449.54834,386.3622,362.32893,509.63372,324.77114,190.65926,601.00481,92.73361,683.54783,649.00761,322.02816,692.86671,338.535,507.95866,433.82136,70.59399,753.9269,568.50307,404.08137,517.83032,490.71996,45.76318,418.87697,829.3874,797.83619,76.20151,559.93919,516.45496,997.01875,913.3461,14.43211,456.85813,658.90931,987.84837,693.95313,889.98811,810.99789,415.30422,375.30126,166.64912,331.90105,271.39006,425.28928,888.88939,680.43833,458.61393,451.63135,95.3055,604.30583,509.1592,149.85549,522.80725,626.6285,603.95937,107.51192,940.2894,191.35118,451.54485,366.81112,820.80895,603.90281,224.01116,859.83905,343.21125,460.82866,838.89167,766.47405,733.88542,669.35983,270.61672,922.96122,28.26885,513.53372,561.28137,983.2603,885.71787,118.99786,686.48043,128.46685,189.40705,401.15761,644.41875,881.45283,220.1683,508.418,227.0848,433.11706,261.32201,329.62266,658.34571,634.83563,152.23319,971.92258,899.27202,315.7934,641.90586,320.55703,377.61441,358.92589,95.11112,400.35938,286.8106,783.79214,533.15118,283.74866
16,410.99268,699.77865,425.18895,189.03183,716.90915,87.49978,202.60891,455.39751,360.82125,381.30895,300.92899,415.27242,275.42683,103.8088,93.18348,787.61359,910.44095,281.7296,207.34085,112.93488,736.91701,754.2365,786.17168,666.53124,522.75919,790.57992,330.0407,138.69159,356.18321,243.28204,525.46595,242.61828,991.03452,255.07481,65.7552,168.07979,132.71418,49.67783,724.55719,418.27848,145.0554,28.6416,455.89958,626.2963,129.54828,548.85093,71.26745,438.73841,398.46802,315.15378,229.59538,414.53403,416.01243,413.28258,161.58271,95.19822,849.24401,566.17791,957.17169,972.89704,189.44402,679.04105,361.68066,42.48538,523.22029,628.36461,623.22179,215.1939,837.25939,639.07094,630.78855,385.55902,862.47842,418.70922,719.84167,422.64606,939.7302,113.84617,503.52705,109.63914,860.13589,556.58544,239.97575,774.95557,145.33016,496.94533,312.54323,22.21916,623.48278,129.90801,841.12527,554.4362,130.44326,875.86902,948.84408,157.90032,443.04286,630.8326,712.78282,540.18793,385.69264,65.65777,399.65281,547.97358,291.59868,777.48269,781.35748,871.26773,751.44748,356.32578,508.34602
17,258.61098,576.79222,852.70183,428.40851,55.27845,892.12075,766.76991,708.67406,451.34629,829.87754,979.28619,489.84061,281.32081,337.38878,70.44127,240.05418,129.57775,752.55458,430.04865,597.85425,318.06504,44.08818,327.31353,928.46376,179.17953,334.69585,831.37071,970.5304,947.68725,563.68588,655.25819,82.34243,605.44676,313.29812,405.00591,997.14602,903.0279,850.60635,753.67558,595.26148,839.37549,712.93862,347.96979,155.85172,341.57799,806.09348,25.07888,466.82155,246.79947,224.30784,449.74694,932.63373,88.31963,27.0283,637.02931,177.0026,468.53665,281.57671,386.81868,262.15844,373.90592,933.31849,386.10218,556.86592,749.0765,849.95473,416.26751,401.96857,943.08925,797.19067,356.78647,133.89579,893.46658,315.34729,909.8491,27.69317,677.02175,960.78285,59.6529,442.10408,212.69315,84.58966,386.25776,715.34718,340.05036,750.93804,55.24198,505.4113,715.47308,706.23978,735.82147,869.2213,697.94132,894.16675,233.13526,67.75327,35.51249,904.6558,241.92249,574.98763,936.55514,559.42871,550.39413,560.9995,46.27392,303.47056,389.32696,738.33753,759.35742,681.79999,33.37692
18,202.00538,214.61142,548.58387,850.18354,843.96908,893.26662,380.30567,330.16103,903.40621,111.2104,299.96099,56.50887,228.76364,600.87651,0.08176,957.40671,78.24524,929.88991,90.96282,6.37112,808.26644,933.5132,598.08847,347.04038,711.12017,548.73212,197.32227,31.59617,343.6443,324.65929,585.38378,208.54167,135.06446,70.61993,232.14802,287.61708,403.60135,297.19513,271.24165,841.58719,73.56879,726.44427,100.67385,703.85503,431.7298,24.8333,443.96182,416.26237,965.23035,712.99065,413.58087,323.96861,696.49429,908.7659,327.03101,76.51016,425.17559,421.94824,232.19267,374.75768,703.39288,143.37182,847.34078,476.5448,974.26683,953.35756,801.37325,279.66434,499.61276,678.0866,202.31036,894.3194,110.03851,838.89136,293.1844,724.08074,669.40166,455.37908,207.66856,401.05616,131.88661,526.7703,655.05891,230.91175,315.49049,219.38863,241.63226,88.60978,417.65658,936.2066,9.74152,144.07141,165.10549,469.81937,361.9478,51.15316,186.56574,144.45702,811.9971,458.69241,710.67244,208.33359,484.04699,715.69438,392.27529,496.53131,116.29877,661.29034,13.60543,203.73895,108.01629
19,286.00271,122.19294,522.58267,610.51158,462.10517,735.90201,584.64121,540.52902,714.01355,96.84012,827.4737,844.93704,178.28355,433.42347,315.29261,913.65539,443.60953,295.57006,574.68966,376.28912,119.37159,711.20598,343.40994,970.78184,506.84697,440.701,206.18884,820.23364,918.97968,976.4814,484.20402,552.3465,823.88807,759.91746,962.37509,957.01662,221.87416,355.26948,309.49081,464.13864,883.70741,220.68583,221.38327,559.21336,792.59765,795.60031,185.21221,568.40543,50.69074,158.04431,79.78526,986.70389,128.58789,509.62027,807.78085,721.16298,419.28441,632.13918,813.56569,596.53793,303.36912,229.9657,651.71948,420.61358,132.39376,196.44276,781.81215,75.75368,551.66055,594.06992,692.57405,520.73972,334.8131,92.34244,424.42336,239.82246,353.09012,51.24254,639.86554,345.62669,225.49643,818.19049,462.26125,778.28842,731.77712,781.0974,728.15131,92.78334,643.34061,387.31575,290.27933,741.05142,689.86952,316.14657,374.48885,521.46851,166.00742,946.81364,840.53716,598.19211,521.14734,413.19389,831.41901,712.4776,870.1367,498.51023,574.86095,83.44783,384.90467,482.38738,294.77964
20,646.88149,741.87728,352.8447,974.08541,890.78723,401.19773,651.08769,104.64867,185.38748,868.35814,656.2659,318.18647,146.89316,626.87312,663.93091,346.90984,456.37177,105.45875,752.75734,437.45938,162.92552,603.58236,459.4074,28.08366,55.15293,705.90443,119.94775,374.0971,447.85104,495.57933,40.4671,402.73976,154.74842,690.27923,561.06128,748.04037,656.49908,122.56812,261.84126,92.94998,54.09462,224.36241,913.52611,450.52471,89.72797,332.44396,166.07913,454.2492,575.30421,42.29687,820.48652,365.19457,328.24441,182.09065,147.44328,393.98524,311.51611,205.6271,34.2205,465.63752,138.85708,780.55771,154.12139,472.83337,228.36071,142.77828,236.66952,843.46718,457.43616,476.64592,865.69308,870.19309,804.25467,710.48596,815.0781,947.32125,2.2689,355.97264,519.41074,191.15468,221.2504,549.14811,795.4038,257.94836,813.7108,288.7131,125.57181,290.59277,163.53467,85.96941,199.44042,857.04745,355.75679,753.91846,330.9075,251.97202,64.81379,569.07747,553.79183,225.37862,162.25077,402.79812,339.53879,639.85246,987.25867,520.03638,538.24142,480.77301,783.10258,426.33673,170.99165
21,536.39331,914.87772,689.36075,482.49876,324.21478,265.97781,599.79837,104.32908,508.91358,639.19504,714.87343,595.35992,58.09433,447.26897,375.46727,884.12763,491.37721,856.72601,299.03462,635.49679,892.59975,556.25307,776.92936,918.41185,227.31531,87.10743,889.81123,311.64152,461.89647,775.516,751.97208,220.06956,967.115,609.10334,241.17363,514.37265,912.00215,950.77445,147.59017,662.87323,419.08689,400.32846,417.02335,128.59804,44.60084,408.61884,262.56826,154.94201,662.83806,509.94675,199.47966,277.31321,495.36355,211.08857,823.56427,446.58067,238.41555,896.2277,986.95753,435.64191,104.28825,791.37525,44.55526,768.40654,445.87277,344.68131,145.44069,608.89689,845.50986,95.20675,106.96328,206.15865,877.35692,359.06759,183.62511,587.535,634.92328,595.43883,454.50786,22.15161,64.38003,807.18352,212.4577,187.7451,64.27381,575.45926,284.78472,109.48889,206.9907,326.08554,88.91697,521.05178,499.44604,645.62584,230.62611,117.03551,744.01098,543.4647,386.38658,296.1824,725.05889,392.7634,392.58586,972.86761,217.72186,826.38149,319.59931,610.377,129.90949,639.22706,902.10257
